"특성별(1)","특성별(2)","인식별(1)",시점,전혀 그렇지 않다 (%),그렇지 않은 편이다 (%),보통이다/그저 그렇다 (%),그런 편이다 (%),매우 그렇다 (%)
"가구주연령별","20대","나는 가공식품 가격의 오르고 내림에 민감하다",2021,3.5,8.1,52.0,33.3,3.2
"가구주연령별","20대","전년에 비해 올해 가공식품 가격이 많이 상승했다",2021,1.4,3.1,33.7,54.0,7.9
"가구주연령별","20대","지난달에 비해 이번달 가공식품 가격이 많이 상승했다",2021,0.0,4.4,46.3,43.0,6.3
"가구주연령별","30대","나는 식품 가격의 오르고 내림에 민감하다",2021,3.9,15.2,41.2,38.3,1.4
"가구주연령별","30대","나는 가공식품 가격의 오르고 내림에 민감하다",2021,3.0,18.5,39.4,35.7,3.4
"가구주연령별","30대","전년에 비해 올해 가공식품 가격이 많이 상승했다",2021,2.9,6.0,41.5,44.4,5.2
"가구주연령별","30대","지난달에 비해 이번달 가공식품 가격이 많이 상승했다",2021,2.6,6.5,50.1,37.2,3.5
"가구주연령별","40대","나는 식품 가격의 오르고 내림에 민감하다",2021,0.2,10.3,37.8,49.1,2.6
"가구주연령별","40대","나는 가공식품 가격의 오르고 내림에 민감하다",2021,0.0,8.9,41.9,44.0,5.2
"가구주연령별","40대","전년에 비해 올해 가공식품 가격이 많이 상승했다",2021,1.6,6.7,35.5,49.4,6.7
"가구주연령별","40대","지난달에 비해 이번달 가공식품 가격이 많이 상승했다",2021,1.4,7.3,44.3,42.4,4.6
"가구주연령별","50대","나는 식품 가격의 오르고 내림에 민감하다",2021,0.3,11.0,40.3,44.6,3.8
"가구주연령별","50대","나는 가공식품 가격의 오르고 내림에 민감하다",2021,0.3,13.6,38.9,42.1,5.1
"가구주연령별","50대","전년에 비해 올해 가공식품 가격이 많이 상승했다",2021,0.6,7.6,34.2,49.5,8.1
"가구주연령별","50대","지난달에 비해 이번달 가공식품 가격이 많이 상승했다",2021,1.5,5.0,47.8,39.1,6.6
"가구주연령별","60대 이상","나는 식품 가격의 오르고 내림에 민감하다",2021,1.3,8.6,46.7,40.9,2.5
"가구주연령별","60대 이상","나는 가공식품 가격의 오르고 내림에 민감하다",2021,0.6,11.9,44.9,37.4,5.2
"가구주연령별","60대 이상","전년에 비해 올해 가공식품 가격이 많이 상승했다",2021,0.9,7.8,35.5,50.1,5.7
"가구주연령별","60대 이상","지난달에 비해 이번달 가공식품 가격이 많이 상승했다",2021,0.4,8.1,46.3,41.7,3.5
